question,answer
how to reset password,Use the reset password portal.
how to apply leave,Submit a leave request trough the HR portal.
what are office timings,Office timings are 9 AM to 6 PM.
how to contact hr,Email hr@company.com.
where is employee handbook,Available on the company intranet.
how to update profile,Update your profile through the employee portal.
how to request laptop support,Create a support ticket for the laptop issues.
how to check leave balance,Check leave balance in HR portal
how to access payroll,Payroll details are available in the payroll system.
how to contact it support,Email support@company.com.
