text,label
Stock market rises today,REAL
Time Traveler arrested,Fake
Time Traveler arrested,Fake
Government launches new policy,REAL
Stock market rises today,REAL
Dragon seen in Gujarat,Fake
Time Traveler arrested,Fake
Dinosaurs return to Earth,Fake
Humans living on Mars,Fake
Dinosaurs return to Earth,Fake
Time Traveler arrested,Fake
India wins cricket match,REAL
India wins cricket match,REAL
Dragon seen in Gujarat,Fake
Government launches new policy,REAL
University announces scholarships,REAL
New Hospital open in Delhi,REAL
Dinosaurs return to Earth,Fake
India wins cricket match,REAL
India wins cricket match,REAL
Humans living on Mars,Fake
New Hospital open in Delhi,REAL
Government launches new policy,REAL
University announces scholarships,REAL
Scientists develop vaccine,REAL
New Hospital open in Delhi,REAL
Aliens found in Mumbai,Fake
Humans living on Mars,Fake
Invisible city discovered,Fake
Aliens found in Mumbai,Fake
Aliens found in Mumbai,Fake
Humans living on Mars,Fake
New Hospital open in Delhi,REAL
New Hospital open in Delhi,REAL
Stock market rises today,REAL
Humans living on Mars,Fake
India wins cricket match,REAL
Invisible city discovered,Fake
Dragon seen in Gujarat,Fake
Time Traveler arrested,Fake
Humans living on Mars,Fake
Stock market rises today,REAL
Scientists develop vaccine,REAL
Humans living on Mars,Fake
Aliens found in Mumbai,Fake
Government launches new policy,REAL
Invisible city discovered,Fake
Dinosaurs return to Earth,Fake
Time Traveler arrested,Fake
India wins cricket match,REAL
Stock market rises today,REAL
New Hospital open in Delhi,REAL
New Hospital open in Delhi,REAL
India wins cricket match,REAL
Scientists develop vaccine,REAL
Scientists develop vaccine,REAL
Invisible city discovered,Fake
Time Traveler arrested,Fake
Government launches new policy,REAL
New Hospital open in Delhi,REAL
New Hospital open in Delhi,REAL
Stock market rises today,REAL
Dinosaurs return to Earth,Fake
Humans living on Mars,Fake
Stock market rises today,REAL
Scientists develop vaccine,REAL
Invisible city discovered,Fake
Government launches new policy,REAL
New Hospital open in Delhi,REAL
University announces scholarships,REAL
University announces scholarships,REAL
University announces scholarships,REAL
Invisible city discovered,Fake
Dinosaurs return to Earth,Fake
New Hospital open in Delhi,REAL
New Hospital open in Delhi,REAL
Scientists develop vaccine,REAL
University announces scholarships,REAL
Stock market rises today,REAL
Time Traveler arrested,Fake
Time Traveler arrested,Fake
Dragon seen in Gujarat,Fake
Invisible city discovered,Fake
University announces scholarships,REAL
Time Traveler arrested,Fake
Dragon seen in Gujarat,Fake
Stock market rises today,REAL
Invisible city discovered,Fake
Dinosaurs return to Earth,Fake
Dragon seen in Gujarat,Fake
Dragon seen in Gujarat,Fake
Scientists develop vaccine,REAL
Government launches new policy,REAL
Invisible city discovered,Fake
India wins cricket match,REAL
New Hospital open in Delhi,REAL
Scientists develop vaccine,REAL
University announces scholarships,REAL
New Hospital open in Delhi,REAL
Dragon seen in Gujarat,Fake
